Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,m_3,c_7,c_7,c_6,0.5584665027658267,1.3771414035071459
model_2,c_11,c_1,c_9,c_11,0.7878380454824832,0.7097733985190752
model_3,c_6,c_5,c_1,c_3,0.7835356484326982,0.7220604777629198
model_4,c_8,m_3,c_1,m_3,0.46669483712354026,1.688272911489706
model_1,m_2,c_11,c_12,c_9,0.9017747387830363,0.347051754822816
model_1,m_2,c_11,c_12,c_9,0.8929010448678549,0.3608266769965038
model_1,m_2,c_11,c_12,c_9,0.897818070067609,0.3605123323313411
model_2,c_11,c_8,c_8,c_10,0.8893285187461586,0.3980658789518499
model_3,c_6,c_9,c_3,c_7,0.8756146281499693,0.42659469704889563
model_4,c_6,c_1,c_3,c_1,0.8727719729563614,0.43608621218240035
model_5,c_7,c_9,c_1,c_7,0.8662415488629379,0.4531387759953023
model_6,c_11,m_1,m_3,c_3,0.8577519975414875,0.5003679326306697
model_7,c_2,c_1,s,-,0.837661339889367,0.5551491800807852
model_8,c_8,c_4,c_2,c_2,0.8812615242778119,0.4125634941839703
model_9,c_6,m_3,c_4,c_11,0.8843730792870313,0.4107509425394214
model_10,c_1,c_3,c_1,m_2,0.8669714197910264,0.44479164782941305
model_11,c_1,c_2,c_1,c_4,0.8580977258758451,0.468219046806659
model_12,m_1,c_7,s,-,0.8066226183159189,0.7064480932490109
model_13,c_4,c_4,c_1,c_3,0.8717732022126613,0.4358141393238735
model_14,c_9,c_6,c_4,c_9,0.8877151198524893,0.39892720209907445
model_15,c_5,c_2,c_5,c_3,0.8491472034419176,0.5153189532106174
model_16,m_2,m_3,c_8,c_4,0.6210817455439459,1.1663233885093929
model_17,m_1,c_6,c_4,c_5,0.8456899200983405,0.5194849996714777
model_18,c_9,c_4,c_10,m_2,0.8724646588813768,0.46103645931670617
model_19,c_5,c_12,c_9,m_2,0.8791487400122926,0.4161885288608682
model_20,c_9,c_9,c_4,m_3,0.8714274738783037,0.44333013074304256
model_21,c_12,c_8,m_2,c_6,0.8869852489244008,0.4754420618521486
model_22,c_10,c_7,c_2,c_4,0.8678933620159803,0.5423154019474177
model_23,c_8,c_12,m_2,c_6,0.8991625691456668,0.41250360519444934
model_24,c_7,c_5,m_3,c_5,0.8864474492931776,0.39845613519802514
model_25,m_3,c_9,m_2,m_1,0.6812384757221881,1.0446247239382485
model_26,c_9,c_3,c_4,m_3,0.8767670559311617,0.4502026352438373
model_27,c_11,c_12,c_4,c_5,0.8837968653964352,0.4028091472610785
model_28,c_10,c_1,c_12,c_4,0.8516441303011678,0.5260045306039282
model_29,c_6,m_2,c_5,m_1,0.8698524892440074,0.5222107835283437
model_30,c_4,c_7,s,-,0.8403503380454825,0.5422274627492115
model_31,c_1,c_2,c_12,c_5,0.8350107559926244,0.6491837606484273
model_32,c_3,m_2,s,-,0.8484941610325752,0.5393783273913777
model_33,m_2,c_9,s,-,0.8464966195451752,0.545209235330264
model_34,m_2,m_1,c_9,c_12,0.8248309772587584,0.5873061034418574
model_35,c_12,c_4,c_11,c_12,0.8802627535341119,0.4225057863573685
model_36,c_5,c_2,c_1,m_3,0.8766902274124155,0.4295778144482974
model_37,c_2,m_2,c_11,c_5,0.890019975414874,0.38041140596120726
model_38,c_1,m_2,c_11,c_5,0.8840273509526736,0.4111301911412094
model_39,c_6,c_11,c_6,c_5,0.8828749231714813,0.3890477071968998
model_40,c_2,c_1,c_8,c_8,0.8644744929317763,0.48850349460962583
model_41,c_7,c_1,m_2,m_2,0.87350184388445,0.5021241856962168
model_42,c_11,m_2,c_11,c_5,0.9038491087891826,0.34032542393133547
